"nodeID_from"	"nodeID_to"	"line"	"year"
245	267	"line4"	1904
267	358	"line4"	1904
358	313	"line4"	1904
313	230	"line4"	1904
230	406	"line4"	1904
406	387	"line4"	1904
387	381	"line4"	1904
381	306	"line4"	1904
306	370	"line4"	1904
370	415	"line4"	1904
415	349	"line4"	1904
244	165	"line5"	1904
165	284	"line5"	1904
284	369	"line5"	1904
369	337	"line5"	1904
337	242	"line5"	1904
347	68	"line5"	1904
68	66	"line5"	1904
66	63	"line5"	1904
63	283	"line5"	1904
283	198	"line5"	1904
198	141	"line5"	1904
141	368	"line5"	1904
368	193	"line5"	1904
193	242	"line5"	1904
242	423	"line5"	1904
423	45	"line5"	1904
45	270	"line5"	1904
270	394	"line5"	1904
394	296	"line5"	1904
296	373	"line5"	1904
373	298	"line5"	1904
298	409	"line5"	1904
409	28	"line5"	1904
28	24	"line5"	1904
24	19	"line5"	1904
19	131	"line5"	1904
131	319	"line5"	1904
319	278	"line5"	1904
278	33	"line5"	1904
33	195	"line5"	1904
195	273	"line5"	1904
273	421	"line5"	1904
421	184	"line5"	1904
184	228	"line5"	1904
228	348	"line5"	1904
348	148	"line5"	1904
148	267	"line5"	1904
267	371	"line5"	1904
371	402	"line5"	1904
402	428	"line5"	1904
428	215	"line5"	1904
215	181	"line5"	1904
181	352	"line5"	1904
352	196	"line5"	1904
367	197	"line6"	1904
197	334	"line6"	1904
334	425	"line6"	1904
425	434	"line6"	1904
434	206	"line6"	1904
206	364	"line6"	1904
364	400	"line6"	1904
400	338	"line6"	1904
338	248	"line6"	1904
248	426	"line6"	1904
426	295	"line6"	1904
295	325	"line6"	1904
325	241	"line6"	1904
241	240	"line6"	1904
240	231	"line6"	1904
231	194	"line6"	1904
194	408	"line6"	1904
408	19	"line6"	1904
19	13	"line6"	1904
13	7	"line6"	1904
7	2	"line6"	1904
2	138	"line6"	1904
138	131	"line6"	1904
131	122	"line6"	1904
122	115	"line6"	1904
115	319	"line6"	1904
319	103	"line6"	1904
103	278	"line6"	1904
278	82	"line6"	1904
82	79	"line6"	1904
79	71	"line6"	1904
71	33	"line6"	1904
33	144	"line6"	1904
144	182	"line6"	1904
182	398	"line6"	1904
398	202	"line6"	1904
202	195	"line6"	1904
258	332	"line7"	1915
332	9	"line7"	1915
9	4	"line7"	1915
4	305	"line7"	1915
305	136	"line7"	1915
136	128	"line7"	1915
128	385	"line7"	1915
385	116	"line7"	1915
116	432	"line7"	1915
432	104	"line7"	1915
104	97	"line7"	1915
97	91	"line7"	1915
91	83	"line7"	1915
