"nodeID_from"	"nodeID_to"	"line"	"year"
123	237	"ligne11"	1935
237	20	"ligne11"	1935
20	111	"ligne11"	1935
111	246	"ligne11"	1935
246	9	"ligne11"	1935
9	241	"ligne11"	1935
241	116	"ligne11"	1935
116	57	"ligne11"	1935
219	166	"ligne12"	1910
166	164	"ligne12"	1910
164	124	"ligne12"	1910
124	131	"ligne12"	1910
131	1	"ligne12"	1910
1	199	"ligne12"	1910
199	263	"ligne12"	1910
263	181	"ligne12"	1910
181	288	"ligne12"	1910
288	266	"ligne12"	1910
266	150	"ligne12"	1910
150	66	"ligne12"	1910
66	11	"ligne12"	1910
11	280	"ligne12"	1910
280	255	"ligne12"	1910
255	277	"ligne12"	1910
277	245	"ligne12"	1910
245	182	"ligne12"	1910
182	177	"ligne12"	1910
177	95	"ligne12"	1910
95	191	"ligne12"	1910
191	300	"ligne12"	1910
300	293	"ligne12"	1910
293	67	"ligne12"	1910
67	227	"ligne12"	1910
227	69	"ligne12"	1910
69	155	"ligne12"	1910
10	139	"ligne13"	1911
139	100	"ligne13"	1911
100	151	"ligne13"	1911
151	217	"ligne13"	1911
217	38	"ligne13"	1911
38	130	"ligne13"	1911
260	17	"ligne13"	1911
17	259	"ligne13"	1911
259	45	"ligne13"	1911
45	153	"ligne13"	1911
153	108	"ligne13"	1911
108	224	"ligne13"	1911
224	113	"ligne13"	1911
113	130	"ligne13"	1911
130	200	"ligne13"	1911
200	144	"ligne13"	1911
144	266	"ligne13"	1911
266	173	"ligne13"	1911
266	174	"ligne13"	1911
173	47	"ligne13"	1911
174	47	"ligne13"	1911
47	118	"ligne13"	1911
118	292	"ligne13"	1911
292	262	"ligne13"	1911
262	84	"ligne13"	1911
84	177	"ligne13"	1911
177	101	"ligne13"	1911
101	195	"ligne13"	1911
195	204	"ligne13"	1911
204	226	"ligne13"	1911
226	160	"ligne13"	1911
160	161	"ligne13"	1911
161	58	"ligne13"	1911
266	150	"ligne14"	1998
150	235	"ligne14"	1998
150	236	"ligne14"	1998
235	57	"ligne14"	1998
236	57	"ligne14"	1998
57	106	"ligne14"	1998
106	22	"ligne14"	1998
22	73	"ligne14"	1998
73	23	"ligne14"	1998
23	185	"ligne14"	1998
211	295	"ligne2"	1900
295	50	"ligne2"	1900
50	286	"ligne2"	1900
286	71	"ligne2"	1900
71	175	"ligne2"	1900
175	299	"ligne2"	1900
299	252	"ligne2"	1900
252	200	"ligne2"	1900
200	26	"ligne2"	1900
26	199	"ligne2"	1900
199	6	"ligne2"	1900
6	16	"ligne2"	1900
16	127	"ligne2"	1900
127	281	"ligne2"	1900
